brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size_inch,refresh_rate_hz,battery_wh,weight_kg,has_touchscreen,os,price_idr
Apple,Apple M1,16,512,SSD,Apple GPU,13.3,120,40.9,1.05,1,macOS,34800000
Acer,Intel Core i3,4,128,SSD,NVIDIA GTX 1650,14.0,60,72.8,1.26,0,Chrome OS,2500000
HP,AMD Ryzen 7,32,512,NVMe SSD,Integrated,11.6,144,34.6,3.37,1,Chrome OS,10700000
Dell,AMD Ryzen 7,8,512,NVMe SSD,NVIDIA RTX 3070,13.3,120,76.4,1.71,0,Chrome OS,9500000
MSI,Intel Core i5,8,1024,SSD,NVIDIA RTX 3060,17.3,60,43.7,1.02,0,Windows 10,11600000
Toshiba,AMD Ryzen 7,8,1024,HDD,NVIDIA RTX 3060,11.6,60,31.1,2.0,0,Chrome OS,5800000
HP,Intel Core i3,32,256,NVMe SSD,NVIDIA RTX 3050,13.3,60,38.1,3.14,0,Chrome OS,6400000
Samsung,AMD Ryzen 3,32,512,SSD,NVIDIA RTX 3060,16.0,60,98.0,3.11,1,Linux,12900000
Apple,Apple M1,8,512,SSD,Apple GPU,14.0,120,32.2,2.55,0,macOS,22900000
Dell,AMD Ryzen 7,32,512,SSD,NVIDIA RTX 3050,17.3,60,74.3,3.17,1,Linux,19500000
Toshiba,AMD Ryzen 7,32,256,NVMe SSD,Integrated,14.0,60,59.9,3.03,1,Chrome OS,5500000
Acer,Intel Core i3,8,256,NVMe SSD,NVIDIA GTX 1650,11.6,60,58.3,1.07,0,Linux,2500000
Apple,Apple M1,8,2048,SSD,Apple GPU,14.0,60,72.7,2.21,0,macOS,37800000
Lenovo,AMD Ryzen 3,8,512,SSD,NVIDIA GTX 1650,14.0,90,55.9,1.53,1,Chrome OS,3500000
Lenovo,AMD Ryzen 5,8,1024,NVMe SSD,NVIDIA RTX 3050,15.6,60,65.6,2.71,1,Windows 10,9300000
HP,Intel Core i9,16,512,HDD,AMD Radeon RX 6600,13.3,60,88.6,2.66,1,Chrome OS,10600000
Toshiba,Intel Core i7,64,512,SSD,NVIDIA RTX 3060,11.6,165,46.9,1.14,1,Linux,21700000
HP,Intel Core i7,32,512,SSD,NVIDIA RTX 3050,14.0,120,95.5,2.94,0,Chrome OS,15800000
Razer,Intel Core i7,8,512,SSD,NVIDIA RTX 3070,17.3,60,61.4,3.49,0,Windows 11,13900000
Samsung,AMD Ryzen 9,8,512,HDD,NVIDIA RTX 3050,14.0,240,55.7,1.59,0,Linux,10600000
HP,AMD Ryzen 5,32,512,NVMe SSD,NVIDIA RTX 3050,15.6,90,76.8,3.15,0,Chrome OS,13400000
Asus,AMD Ryzen 3,64,256,HDD,NVIDIA RTX 3050,17.3,60,97.7,3.41,1,Windows 10,10700000
Acer,AMD Ryzen 7,16,1024,SSD,NVIDIA RTX 3050,13.3,120,95.1,1.08,0,Windows 11,12500000
Toshiba,Intel Core i5,8,1024,HDD,Integrated,16.0,120,50.8,1.99,0,Windows 10,3600000
Toshiba,AMD Ryzen 7,8,256,HDD,NVIDIA RTX 3060,17.3,60,85.7,3.21,0,Windows 11,4900000
